S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
17,"Rekha is a project manager on a large construction project. Late in the project, her client demands a big change. She assesses the impact of the change and tells the client how much time and money it will cost. But the client won't allow any change to the schedule and won't pay anything more for change. Rekha explains that the proposed change is well outside the documented scope of the original work. The client tells Rekha that he doesn't care what was in the original scope and that she needs to implement the change with no impact to schedule or budget. What conflict resolution technique is he the client using?",Confronting,Withdrawal,Smoothing,Forcing,D,
18,"The customer has reviewed the deliverables of a project and finds that they are acceptable, and must now communicate that acceptance to the project manager. Which form of communication is appropriate?",Informal written,Informal verbal,Formal written,Formal verbal,C,
19,"The project aims to investigate the feasibility of constructing a hydroelectric dam from a technical, economic, and social point of view. The project charter created by the project manager on behalf of the project sponsor is now approved. Which of the following processes should be performed next?",Develop Project Management Plan,Identify Risks,Identify Stakeholders,Develop Project Charter,C,
20,"The project charter is typically approved by the project sponsor, although some charters can be approved by key stakeholders instead. Which of the following BEST describes the role of the project sponsor on the project?",The sponsor manages the project,The sponsor provides funding for the project,The sponsor verifies that all of the work was completed,The sponsor negotiates all contracts,B,
21,The purpose of the review of deliverables and project performance after a project phase is to:,Determine how many resources are required to complete the project according to the project baseline,Adjust the schedule and cost baselines based on past performance,Obtain customer acceptance of project deliverables,Determine whether the project should continue to the next phase,D,
22,"The quality assurance department of your company has performed a quality audit on your project. They have found that your team has implemented something inefficiently, and that could lead to defects. What is the NEXT thing that should happen on your project?",You work with the quality department to implement a change to the way your team does their work,You document recommended corrective actions and submit them to the stakeholder in charge of change approvals,You add the results of the audit to the lessons learned,You meet with the manager of the quality assurance department to figure out the root cause of the problem.,B,
23,The scope baseline consists of:,"The Scope Management Plan, the Project Scope Statement, and the WBS","The Scope Management Plan, Requirements Documents, and the WBS","The Scope Management Plan, the WBS, and the WBS Dictionary","The Project Scope Statement, the WBS, and the WBS Dictionary",D,
24,Tom is the project manager of an accounting project. He has just finished defining the scope for the project and is creating the WBS. He goes to his organizational process asset library and finds a WBS from a past project to use as a jumping off point. Which of the following describes the asset that Tom is using?,Decomposition,Delphi Technique,Brainstorming,Templates,D,
25,"Two of your project team members approach you with a conflict that they are having with each other over the technical approach to their work. One of the two people is very aggressive, and tries to get you to make a decision quickly. The other team member is quiet, and seems less willing to talk about the issue. The conflict is starting to cause delays, and you need to reach a decision quickly. What is the BEST approach to solving this conflict?","Tell the team members that they need to work this out quickly, because otherwise the project could face delays","Since it is a technical problem, tell the team members that they should take it to the functional manager","Confront the issue, even though one team member is hesitant",Escalate the issue to your manager,C,
26,What are the strategies for dealing with positive risks?,"Avoid, mitigate, transfer, accept","Transfer, mitigate, avoid, exploit","Exploit, share, enhance, accept","Mitigate, enhance, exploit, accept",C,
27,What are the triple constraints in project?,"Time, Schedules and Scope","Time, Availability and Scope","Time, Money and Schedules","Time, Cost and Scope",D,
28,What is a risk owner?,The person who monitors the watchlist that contains the risk,The person who is responsible for the response plan for the risk,The person who makes a risk happen,The person who meets with stakeholders to explain the risk,B,
29,When is the BEST time to have project kickoff meetings?,At the beginning of the project,When each deliverable is created,At the start of each phase,When the Communications Management plan is approved,C,
30,"Which document defines how a project is executed, monitored and controlled, and closed?",Strategic plan,Project charter,Project management plan,Service level agreement,C,
31,Which is not a technique used for the Estimate Costs process?,Analogous Estimating,Three Point Estimating,Parametric Estimating,Resource Leveling,D,
32,Which is the BEST definition of quality?,A product made of very expensive materials,A product made with a lot of care by the team who built it,A product that passes all of its tests,A product that satisfies the requirements of the people who pay for it,D,
33,Which is the BEST description of project scope?,All of the work you will do to build the product,All of the features and deliverables your project will deliver,All of the products your project will make,All of the people involved in your project,A,
34,Which of the following BEST describes the main purpose of the project charter?,It authorizes the project manager to work on the project,It identifies the sponsor and describes his or her role on the project,It contains a list of all activities to be performed,It describes the initial scope of the work,A,
35,Which of the following BEST describes when you perform the Monitor and Control Project Work process?,Continuously throughout the project,As soon as every deliverable is completed,At scheduled milestones or intervals during the project,At the end of every project phase,A,
36,Which of the following contracts has the MOST risk for the seller?,Cost plus fixed fee (CPFF),Fixed price (FP),Time and Materials (T&M),Cost plus percentage of costs (CPPC),B,
37,Which of the following is NOT a project constraint?,Procurements,Cost,Resources,Scope,A,
38,Which of the following is NOT one of the most common sources of project conflict?,Schedules,Resources,Priorities,Costs,D,
39,Which of the following is NOT true about the Project Charter?,It formally assigns the project manager,It is always created by the project manager,It contains external constraints and assumptions,Includes a high-level milestone schedule,B,
40,Which of the following is the BEST example of a reward system?,"The team member who works the hardest will receive N100,000","Everyone will get a bonus of N50,000 if the project meets its quality goals, N50,000 if it meets its budget goals, and N60,000 if it comes in on time",The five team members who put in the most hours will get a trip to Dubai,"The team will only get a bonus if the project comes in 50% under budget, schedule, and quality metric goals; even though the team leads know this goal is unrealistic, they agree that it will motivate",B,
41,Which of the following is the correct order of actions that you take during the Closing processes?,"Get formal acceptance, release the team, write lessons learned, close project or phase","Write lessons learned, release the team, get formal acceptance, close project or phase","Get formal acceptance, write lessons learned, release the team, close project or phase","Get formal acceptance, close the contract, write lessons learned, release the team",C,
42,Which process develops options and actions to enhance opportunities and reduce threats to project objectives?,Identify Risks,Control Risks,Plan Risk Management,Plan Risk Responses,D,
43,"You and your company are both on a contracted bonus upon successful completion of your project. You are currently predicting that as your project nears its end, that you will deliver on time and under budget meaning the bonuses will be reduced. Which of the following options should you do?",Add activities to the project to increase the cost enough to meet the original estimated amount.,Tell the customer you're adding additional requirements to the project that were originally cut because of cost constraints.,Upon completion inform the customer that the project has come in under budget.,"Bill the customer for the full amount of the contract, as this was the original agreed-upon price",C,
44,"You are a project manager on a construction project. You have just prepared an RFP (Request For Proposal) to send around to electrical contractors. You get a call from your uncle who owns an electrical contracting company. He wants to bid on your project. You know he has done good work before, and it may be a good fit for your company. How do you proceed?","You disclose the conflict of interest to your company, and disqualify your uncle's company","You disclose the conflict of interest to your company, and make the selection based on objective criteria","You disclose the conflict of interest to your company, and provide your uncle with information that the other bidders don't have so that he has a better chance of winning the contract","You do not disclose the conflict of interest, and give your uncle the bid",B,
45,"You are assigned to a project to set up a new recruitment campaign and you report to the Head of Human Resources. In addition, as an experienced manager, you are reviewing applicants and performing initial interviews. The Head of projects now wants to review your latest ideas for online registration via the organization’s website. Which organizational structure do you work in?",Functional organization,Weak matrix organization,Projectized organization,Balanced matrix organization,B,
46,"You are being hired to manage a highway construction project for a contractor working for Ebonyi State. The sponsor is a project officer who works for the Ebonyi State government. You have three separate teams working all three shifts, with a separate supervisor for each team. Each team has members from two different unions, and each union has its own representative. Who is the BEST person to approve the project charter?",The project manager,The Ebonyi State project officer,The team supervisor,The two union representatives,B,
47,"You are currently performing the Conduct Procurements process. You are considering two bids from companies on your qualified sellers list. Your project is on a tight budget, and you have been instructed by senior management to consider the cost over any other criteria. You used the company that submitted the lower bid on a previous project, and you were not happy with their work. The company that submitted the higher bid has a reputation for treating their clients well, flying project managers first class, and giving them accommodations in five-star hotels. What is the BEST way to handle this situation?",Select the company with the lowest bid,Give the manager at the company with the higher bid information that will allow him to tailor his bid so that it better meets your needs,Rewrite the RFP (Request For Proposal) so that the company with the lowest bid is excluded,Select the company with the higher bid,A,
48,"You are managing a design project. You find that bringing all of your team members into a single room to work increases their communication, and helps build a sense of community. This is referred to as a:",Co-located team,Virtual team,Socially active team,Common area,A,
49,"You are managing a large construction project that's been broken down into phases (or sub-projects). Each of these phases is scheduled to take between three and six months to complete. At the end of each phase, you plan to go through the closing processes and document lessons learned. Which of the following BEST describes what you must do at the beginning of each phase?","Make sure you don't involve the team, to avoid introducing too much project management overhead",Identify the stakeholders,Use the Earned Value Technique to decide whether or not to finish the project.,Release all resources from the project and contact sellers to renegotiate all contracts,B,
50,"You are managing a project that is currently executing. You are evaluating the work being performed by constantly measuring the project performance, and recommending changes, repairs, and corrections where necessary. What process are you performing?",Integrated Change Control,Monitor & Control Project Work,Control Scope,Communications Management,B,
51,"You are managing a project to build five bridges. The project consists of five sequential phases with each phase delivering one bridge. After the first phase of the project is complete, which process group of the second phase should follow?",Initiating,Planning,Executing,Closing,A,
52,"You are managing a project with a total budget of $450,000. According to the schedule, your team should have completed 45% of the work by now. But at the latest status meeting, the team only reported that 40% of the work has actually been completed. The team has spent $165,000 so far on the project. How would you BEST describe this project?",The project is ahead of schedule and within its budget,The project is behind schedule and within its budget,The project is ahead of schedule and over its budget,The project is behind schedule and over its budget,B,
53,"You are managing a software project. You are partway through the project, and your team has just delivered a preliminary version of part of the software. You are holding a weekly status meeting, when one of the team members points out that an important stakeholder is running into a problem with one of the features of the current software. The team member feels that there is a risk that the stakeholder will ask for a change in that feature, even though that change would be out of scope of the current release, and if the stakeholder requests that change, there is a high probability that the change control board would approve the change. What is the BEST action to take next?",Mitigate the risk by asking a team member to get familiar with the feature of the software that might be changed,Schedule a meeting with the stakeholder to discuss the risk,Add the risk to the risk register and gather information about its probability and impact,Add the risk to the issue log and revisit it when there is more information,C,
54,"You are managing a software project. You are partway through the project, and your team has just delivered a preliminary version of part of the software. Your team gives a demonstration to the project sponsor and key stakeholders. Later, the sponsor informs you that there is an important client who will be using the software your team is building, and whose needs are not being met. As a result, you must now make a large and expensive change to accommodate that client. What is the BEST explanation for this?",Stakeholder analysis was not performed adequately,The sponsor is being unreasonable,The team made a serious mistake and you need to use punishment power to correct it,You do not have enough budget to perform the project,A,
55,"You are managing a software project. Your team has discovered a problem, and as a result you have requested a change. The change will cost the project an extra three weeks, but without it several stakeholders might have problems with the final product. What is the NEXT thing that you should do?",Instruct the team to make the change,Call a meeting with each stakeholder to figure out whether or not to make the change,"Document the change and its impact, and put it through the change control system",Do not make the change because it will delay the project,C,
56,"You are managing a software upgrade project for your company. Your project sponsor has a great deal of authority regarding project decisions, but you recently discovered that he doesn't have much interest in your project. To complete the project successfully, you need your project sponsor's continuous support. What stakeholder management strategy should you use with your project sponsor?",Keep the sponsor satisfied,Manage the sponsor closely,Monitor the sponsor's actions,Keep the sponsor informed,A,
57,You are managing an accounting project when a new CFO is hired at your company. He will be affected by all accounting projects in your company. What is the BEST thing for you to do?,Show him the Project Charter so that he knows that you are in charge of the project,Keep working on the project and get his feedback when he can review the finished product,Add him to the communications plan,Work with him to understand the current requirements and determine if he has new ones to add to the project,D,
58,You are planning a project that uses the same team as a project that is currently being performed by your company. What should you consult to find information about when those people will be available for your project?,The project schedule for your project,The project manager for the project that the team is working on,The staffing management plan for the project that the team is working on,The communications management plan for your project,C,
59,"You are the project manager of an e-commerce project and the team are near the end of completing the content-management website. It has been a complex development, and you are close to getting customer sign-off on this part of the project. It meets the full requirements, but some individuals on the user committee have complained about the ease of use regarding site navigation. You don’t believe this is a huge problem and the negative reactions by a few individuals are mostly minor. But as the project manager you feel you should:",Do nothing because the reactions are so minor that very few people will be affected.,Inform the customer that you've discovered this condition and tell them you'll research it further to determine the impacts.,Inform your customer that there is no problem with the additive except for an extremely small percentage of the population and release the product to them.,Tell the customer you'll correct the reaction problems in the next batch but you'll release the first batch of product to them now to begin using,B,
60,"You are the project manager on a construction project. As youâ€™re planning out the work your team will do, you divide up all of the work into work packages and create a WBS that shows how they fit into categories. For each one of the work packages, you write down details such as initial estimates and information about what account it should be billed against. Where do you store all of that information?",Scope Management Plan,Work breakdown Structure (WBS),WBS Dictionary,Project Scope Statement,C,
61,"You are the project manger of a software project. Two developers, Zainab and Oluchi, are having an argument about how to implement a feature. Zainab thinks that it is more important that the project get done quickly, so she is suggesting that you re-use some work that has been done on a previous project to get started. Oluchi thinks that that work does not apply to this project and will just waste time. Zainab is almost always right about these things, and she is very influential on the team, so it is important that you keep her happy. What should you do?","Since you do want to get the project done quickly, you side with Zainab",Call a meeting to hear both sides of the situation and decide in favor of the solution that is best supported by objective evidence,Side with Oluchi; it could end up taking longer in the end,Call a meeting in private with Zainab to hear more about his position,B,
62,You have been hired by a large consulting firm to lead an accounting project. You determine the needs of the project and divide the work up into work packages so that you can show how all of it fits into categories. What are you creating?,A Work Breakdown Structure,A schedule,A Project Scope Statement,A contract,A,
63,"You oversee the customer training phase forming part of a large project to deliver a suite of software applications to a major customer on three separate sites. You are under contract, and report to the project manager, and you will be released after completion of the customer training phase. What type of organizational structure does this represent?",Functional organization,Weak matrix organization,Projectized organization,Balanced matrix organization,C,
64,Your client has terminated your project before it is complete. Which of the following is true?,You must stop all work and release the team immediately,You must work with the team to document the lessons learned,You must keep the team working on the project to give your senior management time to talk to the client,You must update the project management plan to reflect this change,B,
65,"Your project files need to be sent via overnight mail to your company central office. If the files do not arrive tomorrow, your company will not be able to deliver the project on time and you will lose an important client. The deadline cannot be negotiated. The team worked right up to the last minute in order to give you the files. Due to a traffic jam, you are running late and the overnight delivery company will close in five minutes. You can only make it if you drive over the speed limit. Which of the following is correct?",You must drive over the speed limit so that you can save the client relationship,"You must stay within the speed limit, even if you lose the client",You must negotiate a new deadline,"You can use the earned value metrics to show that the SPI is over 1, meaning the project is not late",B,
66,"Your project has a virtual team. Half of your team members are located in another country, where they are working for a subcontractor. The subcontractor team members speak a different dialect of English than your team does. After a conference call, two of your team members make jokes about the way your subcontractor team members speak. What is the BEST way to handle this situation?","Correct the team members individually, and hold a training session for your team to help remove communications barriers",Immediately correct the two people in front of the rest of the team,Report the team members to senior management and recommend that they be punished,Remove noise from the communication by contacting the subcontractor and requesting that the team adjust the way they speak,A,
67,Your project has recently experienced change. Some of the agreed upon WBS elements have been changed as a result. What kind of change has occurred?,Schedule change,Risk response change,Quality change,Scope change,D,
68,Your project team has completed the project work. All of the following must be done before the project can be closed EXCEPT:,Ensure that the schedule baseline has been updated,Get formal acceptance of the deliverables from the customer,Make sure the scope of the project was completed,Verify that the product acceptance criteria have been met,A,
69,"Your team has identified a risk with some of the chemicals you are using on your highway construction project. It is really difficult to mix them just right and, based on past projects, you have figured out that there is a high probability that about 14% of the chemical supply will be lost in mixing problems. You decide to buy an extra 15% of the chemicals up front so that you will be prepared for those losses and your project would not be delayed. Which response strategy are you using?",Avoid,Accept,Mitigate,Transfer,C,
70,"Your top team member has performed extremely well, and you want to reward her. She knows that you do not have enough money in the budget to give her a bonus, so she approaches you and requests an extra day off, even though she is out of vacation days. She asks if she can take one of her sick days, even though the company does not allow that. Which of the following is correct?","You should give her the time off, because McClelland Achievement Theory states that people need achievement, power, and affiliation to be motivated","You should give her the time off, because Expectancy Theory says that you need to give people an expectation of a reward in order to motivate them","You should give her the time off, because a Theory Y manager trusts the team",You should not give her the time off,D,
