S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
20,"All of the following statements are correct about unsafe conditions, except ----------",Unsafe conditions are not hazardous,Some unsafe conditions are as a result worker’s inaction.,Unsafe conditions are such workplace conditions or equipment and material conditions that can cause accidents.,Unsafe conditions usually require engineering measure to eliminate them.,A,
21,An example of unsafe acts is,horseplay,lack of PPE,failure to win,all of the above,C,
22,An example of unsafe conditions is,poor ventilation,excessive noise,slippery floor,all of the above,D,
23,An incident caused by unsafe practices but failed to produce harm is referred to as :,Accident,Unsafe Act,Near Miss,Unsafe condition,C,
24,"An incident that failed to produce neither injury nor damage is known as Near miss. The following is true about near miss, except",Near miss is preferred to accident,Near miss is caused by unsafe acts and unsafe conditions,"Given to time, a near miss can result to accident",Near miss is one of the parameters to investigate during accident investigation.,A,
25,Any spill on the floor can cause an accident. Always clean it up,At once,During clean up time,When you have time,at the end of the period.,A,
26,At what point in the life cycle of an operation can you implement HEMP,When planning the operation only,In the operational &maintenance phase only,"Decommissioning, planning, maintenance and during operational phase",A&B are ok,C,
27,"Behind every accident there are many contributing factors, causes, and subcauses. This is",Theory of Unsafe Acts,Theory of Cause and effect,W. H. Heinrich's Domino Theory,Multiple Cause Theory,D,
28,Biological hazards can occur as a result of contact with,insects,animal droppings,fungi,All of the above,D,
29,Changing work habits and altering work schedules are examples of which of the following control measures,Engineering,Administrative,Physical,Education,B,
30,"Constant loud noise, electrical hazards and hot environment are examples of ________ hazards",physical,chemical,ergonomic,biological,A,
31,"Control measures prevents hazard from impacting people, environment, assets or reputation",Somehow False,TRUE,Partially True,FALSE,B,
32,Direct costs of an accident on a worker include,loss of income,pain,all of the above,none of the above,C,
33,"Education, an accident prevention measure involves",Removing the unsafe condition,Effective supervision,Rewards and incentives,Trainings,D,
34,Employees have the right to refuse work if they:,find the work a bit difficult,believe they are too qualified to do the work,believe the work is likely to expose them to an immediate risk of injury or serious harm,donâ€™t like the task given to them.,C,
35,Employers have a duty to provide personal protective equipment:,to control all workplace hazards,when hazards in the workplace cannot be eliminated or to increase protection,in hot weather to increase protection,in preference to isolating the hazard.,B,
36,"Engineering, Education, Encouragement and Enforcement are the four strategies for accident prevention.",TRUE,Somehow False,Partially True,FALSE,A,
37,"Environment must be maintained in -------------, if they must sustain life and planed objective.",a safe and healthy state.,standard and evaluated,quiet and cool,green and clean.,A,
38,"Failure to secure, to warn or use PPE is",Poor housekeeping,Unsafe condition,Unsafe Procedure,Unsafe act,D,
39,"Following are responsible for office related accidents, except",Horseplay/Error in design,Taking short cuts & inattention to the job,Lack of knowledge &violation of laws,Late coming &Long breaks.,D,
40,"For Management to demonstrate their commitment to effective workplace hazard management, they should do the following, except----------",get involved in health and safety issues,tailor accident investigation reports to protect company's reputation.,invest time and money in health and safety,ensure health and safety responsibilities are clearly understood.,B,
41,"For Management to demonstrate their commitment to effective workplace hazard management, they should do the following, except----------",get involved in health and safety issues,tailor accident investigation reports to protect company reputation.,invest time and money in health and safety,ensure health and safety responsibilities are clearly understood.,B,
42,Hazard and effects management process can be implemented --------,"When planning an operation , and in the abandonment / decommissioning phase of an operation",In the operational / maintenance phase of an operation,Only option A is correct,Both option A and B are correct,D,
43,Hazard assessment can help to determine the following except,severity of a hazard,effectives of control measures,actions to control hazard,none of the above,D,
44,Hazard Control means ---------------,Taken actions to terminate the operations in which the hazards exit.,Taken actions to minimize the effects of hazards to as low as reasonably practicable.,Taken actions maximize the occurrence of the hazards in a given operation.,Taken actions to eliminate some of the tasks associated with the said operation.,B,
45,Hazard control measures,safeguard lives,reduces likelihood of accidents,should be reviewed regularly,all of the above,D,
46,Hazard is ........,anything that brings joy.,anything that cause harm,anything that can reduce risk,anything that prevents accident,B,
47,"Hazards are often grouped into four categories: Physical, Chemical, Biological and Psychological. Which category would sewage fall under?",Physical,Biological,Chemical,Psychological,B,
48,Hazards are situations or things that may be dangerous to workersâ€™ safety or health. Hazards can cause injury. Which of the these is a hazard?,A worn extension cord,Loud music or noise,Stress,All of the above,D,
49,Hazards be identified by the following methods except,inspecting the workplace,consulting the workers,restoring factory settings,reviewing available information about the workplace,C,
50,HEMP is an acronym for,Hazard & Environmental Management Process,Health & Environmental Management Process,Hazard & Effect Management Process,Health Effective Management Process,C,
51,HSE is important because?,It avoids accidents,Demonstrates corporate responsibility,Ensures that roles are clearly defined,All of the above,D,
52,HSE policies are issued by top management and required action from employees of the company. Which of the following is not HSE policy?,HSE & Community statement,Community Relations policy,"commitment to Health, safety,& Environment",Product Diversification,D,
53,i. Identify ii. Assess iii. Control iv. Recover v. Survey Which of the following is the correct order of the four principle of HEMP?,"V,II,IV,III","I,V,IV,III","II,I,IV,V","I,II,III,IV.",D,
54,If I discover a fire I must: -,tell my manager,wait for the detector to activate the alarm,raise the alarm,talk to a friend,C,
55,"If mitigation or control fails and escalation occurs to a point of worst consequence, emergency Procedures are initiated",TRUE,Somehow False,Partially True,FALSE,A,
56,JHA is a tool used primarily to _____,identify hazards,control hazards,sack workers,stop work,A,
57,JHA is an acronym for,Job Hazard Analysis,Job Health Analysis,Joint Health Agency,Joint Hazard Analysis,A,
58,List the 3 elements of fire I Atmosphere II Oxygen III Water IV Heat V Fuel,"V, IV, II","I, II, III","I, III, V","I, III, IV",A,
59,"Managing workplace hazards becomes necessary if , except -----------","You design, manufacture, or supply plant, substances or structures for use at a workplace","You engage workers to undertake work , or if you supervise work carried out by workers",You suspend and erring staff from duty,You may expose other people to risk due to the work are executing.,C,
60,Measures for accident prevention can be summarized as follows; i. Enrichment measures ii. Encouragement measures iii. Education measures iv. Engineering measures v. Enforcement measures,"i, ii, iii, iv","v, i, ii, iv","iv, ii, v, iii","D. iii, v, i, iv",C,
61,Measures for accident prevention can be summarized as follows; i. Enrichment measures ii. Encouragement measures iii. Education measures iv. Engineering measures v. Enforcement measures,"i, ii, iii, iv","v, i, ii, iv","iv, ii, v, iii","iii, v, i, iv",C,
62,"Measures to prevent accidents seek to identify and correct the unsafe acts of people and the unsafe conditions in the work environment, as well as identify and correct the defects in the people.",True in all cases,False in all cases,True in some cases,False in some cases,A,
63,"Once a hazard assessment is completed, when should the employer re-assess the workplace","Never, Once is enough",Monthly,Yearly,As often as possible,D,
64,One of the following is NOT a reason accidents are undesirable.,Continuous Improvement,Economic,Humanitarian,Morale,A,
65,Ozone layer depletion is a consequence of,Air pollution,Water pollution,Soil pollution,None of the above,A,
66,People workplace hazards can impact include,Customers,workers,visitors,All of the above,D,
67,Permit to work is applied in -------------,Restricted Area,Non-routine Activities,All HSE critical activities,All of the above,D,
68,Personal Protective Equipment is an effective tool for hazard control and should always be used. This statement is,TRUE,FALSE,all of the above,none of the above,D,
69,Poor lighting and poor posture are examples of _________ hazard,physical,chemical,ergonomic,biological,C,
70,Risk assessment matrix is a tool that standardizes qualitative risks.,A True,Somehow False,Partially True,FALSE,A,
71,"Segun is one of the senior staff members at Douglas Barto Nigeria Limited. On visit to the company’s blasting site, he was struck by a flying rock while inspecting the operation. How will Segun be possibly NOT affected by this accident?",Possible disability,Rapid promotion,Physical pain,"Loss of leisure, earning and life",B,
72,Solution to accident problems is usually categorized into the 4Es of safetyâ€™ I Encouragement ii Enforcement iii. Education iv. Engineering v. Evaluation Which of the following is the correct set of the four?,"I, V ,II, IV,","I, ii, v, iii","I, ii, iv, iii","I, IV, III, V.",C,
73,Stacking materials neatly is a form of,Job hazard analysis,unsafe condition,good housekeeping,unsafe act,C,
74,The benefit of Good Housekeeping are all but one,"Greater Efficiency,",Improved Morale,improved Hazard &Risk,Elimination of Accidents.,C,
75,The common aim of JHA and PTW isâ€¦â€¦â€¦â€¦..,to ensure safety,to find faults,to impress the manager,to do paper work,A,
76,"The following are effects of Accident, except",Death,Injury,Damage,Risk,D,
77,The following are indirectly affected by accidents except:,community,family of injured personnel,the nation,none of the above,D,
78,"The following are methods for Job hazard analysis, except",Surveying,Observation,Recall and Check,Discussion,A,
79,The following are types of workplace hazards except,Physical,Biological,Ergonomic,Economics,D,
80,"The following could be impacted when accidents happen in workplace, except ----------?",People,Assets,Environment,Security,D,
81,"The following is true about ACCIDENTS, Except -----------?","Accident does not just happen, they are caused.",Accidents are caused by unsafe acts and unsafe conditions,Accidents are planned,Accidents cause injury or damage,C,
82,"The following statements are true about accidents, except",Accidents are unwanted,they are caused by unsafe acts and unsafe conditions,accidents are not planned,accidents cannot be avoided,D,
83,The most appropriate PPE to be used when working in excessively noisy environments is,helmet,ear plugs,gloves,safety boots,B,
84,The procedures for HEMP include,The procedures for HEMP include Identify - Assess â€“ Control - Recovery,Identify - Assess â€“ Control - Emergency,Identify - Assess â€“ Control - First Aid,Identify - Assess â€“ Control - Eliminate,A,
85,The three elements needed for a fire are: -,heat / smoke / oxygen,oxygen / fuel / paper,fuel / oxygen / heat,fuel/oxygen/gas,C,
86,The _____ method of accident prevention involves the removal of the unsafe condition from the workplace,Education,Engineering,Endurance,Encouragement,B,
87,There are a number of ways to identify hazards in the workplace. One way to identify hazards is to watch everyone work.,Partially True,TRUE,Somehow False,FALSE,B,
88,"These are true about unsafe acts, except. Unsafe acts are -------","Usually contrary to rules and regulations, or accepted standard practices and procedures.","Actions taken or performed by someone without due regard for personal safety, that of co-workers or other persons in the vicinity.",Sometimes natural and spontaneous.,Usually a personal decision and are avoidable,C,
89,"To achieve an effective workplace hazard management, the following will be required, except-------",Management Commitment,"Consulting, Co-operating and Co-ordinating Activities With Other Duty Holders",Attending to accident victims at the clinic,Consulting Your Workers,C,
90,"To decide what is REASONABLY PRACTICABLE to protect people from harm, you will have to take into account and weigh up the following relevant matters, except ------------ i. the likelihood of the hazard concerned occurring ii. the degree of harm that might result from the hazard iii. knowledge about the hazard and ways of eliminating or minimising the hazard iv. the availability, suitability and affordability of the ways to eliminate or minimise the hazard","i, ii, iii, and iv",ii and iii only,"i , iii, iv",iii and iv only,A,
91,Visitors cannot fall victim of office accident.,TRUE,FALSE,Sometimes false,Not true in all cases,B,
92,What can be done to prevent fires?,Maintenance of fire detection equipment,Good housekeeping,Ban electrical equipment,option A and B is correct,D,
93,What reasons are there for implementing HSE-MS.,to save money,to work ethically,B & D is correct,to comply with law.,C,
94,"When accident occurs,","The employees involved may have physical pain, mental agony, disability and may loss life","Company is affected directly through economic loss, production loss, and reputation damage",Community and the nation are affected indirectly.,All the options are correct,D,
95,"When accidents happen, the company incurs the following, except",Possible litigation and reputation damage,Economic loss,Production loss,Increased return on investment.,D,
96,"When an accident occurs in an organization, some elements are directly affected while some receives an indirect impact. Which of the following is NOT correct?",Company and community are affected directly,Injured employee and company are affected directly,Family of the injured employee and the nation are affected indirectly,Company and injured employee are not affected indirectly.,A,
97,Which of the following are examples of unsafe act? i. Bypass or removal of safety devices ii. Working in hazardous locations without adequate protection or warning. iii. Sanctioning an employee that caused an accident. iv. Use of tools for other than their intended purpose v. Operating equipment at unsafe speed,"i, ii, iii, iv, v","i, ii, iii, v","i, ii, iv, v","ii, iii, iv, v",C,
98,Which of the following heat sources can be found everywhere?,Electricity,Naked flames,Heating systems,All of the above,D,
99,Which of the following is not a measure of accident prevention,Education,Engineering,Endurance,Encouragement,C,
100,Which of the following is NOT a reason why people carry out unsafe act and create unsafe conditions?,Ignorance,Poor remuneration,Wrong Attitude,Physical or mental inability,B,
101,Which of the following is not a set of elements of health safety and environment management system?,"Hazard and Effects Management, Leadership and Commitment","Business Operation Procedures, Audit, Management Review","Policy and Strategic Objectives, Audit, Management Review","Planning and Procedures, Implementation and Monitoring, Organization, Resources, Standards",B,
102,Which of the following is the correct sequence for procedures of health and effect management process?,Identify – Control – Recovery - Assess,Identify – Recovery – Assess – Control,Identify – Assess – Recovery – Control,Identify – Assess – Control – Recovery,D,
103,Which of the following job will require a hazard analysis before it is carried out?,Jobs in which one simple human error could lead to a severe accident or injury,Jobs that are new to your operation or have undergone changes in processes and procedures,Jobs complex enough to require written instructions.,All of the above,D,
104,Which of the following Person is designated to supervise PTW on site,Permit Applicant,Permit Holder,Asset Holder,Asset Holder Site Supervisor,B,
105,Which of these are unsafe conditions? i. Horseplay ii. Excessive noise and poor ventilation iii. Hazardous atmospheric conditions iv. Poor housekeeping such as slippery floor v. Inadequate warning systems and congestion in the workplace,"iv, iii, v, i,","iii, v, iv, i","v, ii, iv, iii","i, ii, iii, iv",C,
106,Which types of fire extinguishers should be used on electrical fires?,Foam and water,Carbon dioxide and dry powder,Dry powder and foam,Water and carbon dioxide,B,
107,Why do workers carry out unsafe acts or creates unsafe conditions?,Mental inability,Wrong attitude,Ignorance,All of the above,D,
108,"With the acceptance of the assertion that accidents are caused, it is also accepted that identifying the causes and eliminating them or controlling them can prevent the occurrence of accident in workplace.",Very True,Not True,Often True,Not in all cases.,A,
109,Workplace Accidents are caused by,Lateness to site and old age,Unsafe acts and unsafe conditions,Job hazard assessment reports,Modern technologies and personnel,B,
110,Workplace hazards can directly impact all but one of the following:,Employees,Assets,Government,Reputation,C,
111,Written permit is required for working in,high risk environments,working in confined spaces,all of the above,none of the above,C,
112,You can use a water extinguisher to put out an electrical fire.,Partially True,TRUE,Somehow False,FALSE,D,
113,You should run during a fire evacuation drill to get out as quickly as possible?,Partially True,TRUE,Somehow False,FALSE,D,
114,_____ is a process of identifying hazards with a view to eliminate or control them,HEMP,RISK,ALARP,PPE,A,
115,______ is the product of the probability that a specified undesired event will occur and the severity of the consequences of the event,Risk,Hazard,Near miss,accident,A,
