S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
30,"As an administrative assistant, you have been training Mrs. W., who is not directly under your supervision. She has not appeared to be particularly competent during the month she has been in her position. You are explaining application procedures to a client when Mrs. W. interrupts to ask you a question. You tell her you are busy with a client and will come to her office when you are through. In a low voice, she begins to call you names and say bad things about the department. There are several clients in the office in addition to the one you are working with. The supervisor doesn't appear to be around. What should you do?",A. Ignore her and continue to assist the clients,B. Get on the phone and request assistance from a department administrator,"C. Say â€œnow Mrs W, I said Iâ€™d be with you as soon as I could. Now please let me finish",D. Ask another employee to help the client while you escort Mrs W away from the public area,D,
31,"Assume that you are taking a telephone message for a co-worker who is not in the office at the time. Of the following, the LEAST important item to write on the message is the",A. Length of the call,B. Name of the caller,C. Time of the call,D. Telephone number of the caller,A,
32,"Communication is a give and take process. As a CSR, it is your job to:",Speak loudly and roughly in order to intimidate people into listening,Intentionally speak over a person's ability to understand or communicate,Determine if the listener understands,Always ensure that you have the first and the last words said,C,
33,Complaints are regarded as opportunities not problems because,Complaints is always avoided by C.S.R,Customers always complain,Complains scares C.S.R,96% percent of dissatisfied customers never bother to complain,D,
34,CRM stands for:,A. Customers rarely matter,B. Communicating random meaning,C. Customers rudimentarily managed,D. Customer relationship management,D,
35,Customer Care is:,A. A managed care medical program for customers,B. A nifty alliterative phrase that looks good in a company brochure,C. A new program where customers care for themselves,D. A philosophy wherein the customer is wrapped in service even before a problem arises,D,
36,Customer Service Culture is,A. A new form of yogurt where the lid removes itself for you,B. Behaviour being analysed in a Petri dish for contagions,C. A mythical civilization in which everyone smiles and welcomes you when they meet you,D. An environment where customer permeates the thinking of the company,D,
37,Customer Service departments:,A. Are an afterthought that cleans up messes that other departments cause,B. Build customer loyalty,C. Are leaders in understanding customer behaviour patterns and market research,D. none of the above,B,
38,Customers who complain,A. Had unhappy childhoods,B. Are genetically predisposed to be sourpusses,C. Have trouble in their primary relationship,D. Are doing you a service in identifying what isn't working in your business or organization,D,
39,Customers who complain want......,A. Something or nothing,B. To be heard and have their experience validated,C. To vent for the sport of it,D. To be made majority shareholders in the company,B,
40,"Every dissatisfied customer will leave, how many percentage of customers leave solely because of poor service?",50%,60&,69%,96%,C,
41,For a company to be considered service-oriented:,A. It must mention customer service in its mission statement,B. At least 18.3% of its employees must work in the customer service department,C. Its managers at one time have been CSRs,D. Customer service must be addressed by all departments,D,
42,Good customer service can lead to which of the following benefit?,A. long hours of waiting,B. More time off sick,C. Job insecurity,D. Higher job satisfaction,D,
43,How can you appreciate and value others?,Compliment them,By being charismatic,Being Assertive,Criticizing them with care,A,
44,"If a a customer service interaction has not been closed correctly, the customer is most likely to",A. Become confused about the product features,B. Change their mind about the initial purchase,C. Insist on a full refund of payment,D. Complain about the service provided.,B,
45,"If for example an angry customer has complaints about your products and he starts talking loudly about the problem but also deviated into raining personal insults on you and your organization, how do you salvage this situation by bringing the customer back to the problem instead of dwelling on the insult?",Disengage,Setting Limits,Refocus,Contact Security/Management/Authority,C,
46,"If you are in a peer's office and you answer the phone for them, it is inappropriate to say ""who's calling please"".",A. True,B. False,C.All of the above,D.Not at all,A,
47,If you need to discuss sensitive issues over the phone (including exchanges of personal and protected information) how should you handle it with your phone companion?,A. Tell them you'll fax the information,B. Confirm with them it's OK to discuss before discussing it,C. Tell them you'll email it,D. Avoid these discussions at all costs on the telephone,B,
48,"In a face-to-face conversation with a customer, _____ percentage of what a customer learns from a CSR is from his/her body language.",60%,55%,70%,80%,B,
49,"In a situation when you know you will be late for an important meeting with your clients, when communicating the clients that you will be coming late, what should you say first when passing the information?",I can’t make it,I’m sorry I will be coming late (and explain the reason),kindly reschedule the meeting please,Lie you are close to the meeting venue but you are being held up by traffic,B,
50,"In a telephonic conversation, a message is communicated ______% by what you say and _______% by how you say it.","20%, 80%","18%, 82%","40%, 60%","14%, 86%",D,
51,"In face-to-face communications, _______ per cent of the communication is the words used while in telephone communications ________ per cent of the communication is the words used.","38, 18","7, 18","18, 55","82, 18",D,
52,"In opening of a phone call, how long must the phone ring before pick up",Once,Thrice,As long as possible,All of the above,D,
53,"In order to expand and diversify your business, a CSR will need to locate _________________ customers.",New,Marketable,Potential,More,C,
54,"In order to fully understand what a customer is saying or needs, what technique of Customer Service will aid a CSR to achieve this?",Voice Tone-Emphatic,Active Listening,Common Courtesy,Listening Skill,B,
55,"In the unlikely event that you reach a receptionist or secretary when making a business call (instead of voice mail of the person you are calling), how should you address the call taker?",A. Ask for the person you're calling,B. Ask for your party's extension without offering any other information,"C. Ask for the person you're calling for, state your name and purpose for calling","D. Ask for the person you're calling for, and state your name",C,
56,"Instead of telling a customer “it’s obvious you have made a mistake”, a good CSR will say “perhaps you have misinterpreted something”. What tool and technique of Customer Service did the CSR use?",Voice-Tone Emphatic,Empathy Statement,Disengaging,Verbal Softener,D,
57,"It has been established that one of the most important aspect of any Customer interaction is smiling, but in a situation where a customer is upset with your organization and you are still smiling with the customer. This is an example of what?",Inappropriate Non-Verbal,Smirking,Sarcasm,All of the above,A,
58,It has been found that there is a 91% chance that poor service will dissuade a customer from ever going back to a company.,A. YES,B. NO,C. Not at all,D.All of the above,A,
59,It is important to make eye contact with a customer because?,Eye contact is natural,Eye contact is not important,Eye contact reassures customers that your attention is focused on them,Eye contact is common courtesy and it shows your willingness to serve,C,
60,It is recommended that business emails are answered within what time span? Choose one,A. 72 hours,B. 48 hours,C. 96 hours,D. 24 hours,D,
61,"It is very satisfying to point out an embarrassing mistake made by a customer especially when the customer has been insulting and annoying; but as a professional this is not appropriate, what technique of Customer Service will you employ to correct the mistake of this customer without making his/her mistake?",Levelling,Explain Reasoning or Action,Face-Saving Out,All of the above,C,
62,"It’s been a tiring day and you still have a long line of customers to attend to, you stand up to stretch your legs and you noticed a heavily pregnant woman at the far end of the queue; one of your company’s policy is to expedite Customer’s situation for Old People, Visibly Sick Customers and Pregnant Women. You know calling out the pregnant woman to the front of the queue might cause a problem with the other customers on the queue, how will you handle this situation?",Pretend you didn’t see the pregnant customer so as to avoid trouble,Address all the customers on the queue informing them about your company policy as regards rendering service to some category of people; and then ask their permission to help the pregnant customer.,Call the pregnant woman to the front of the queue and ignore the protests from the other customers,Help the customer and insult any customer that protests.,B,
63,"No matter how perfect your product/service is, it will be seen as dissatisfying if it is delivered by obnoxious CSR",TRUE,FALSE,Not Really,None of the above,A,
64,One of the following is the basic need of the customer on the phone,To feel understood,To be given prompt solution to his/her problems,To be recognized and valued,A and C,D,
65,One of the guidelines on how to handle customer complain is,Try not to be abusive,Handle complains personally,Don't take complains and abuse coming from a customer personally,Be rational,C,
66,One of the most common problems that can arise at a payment point is when,A. The price of a product has been reduced from the original selling price,B. The product or service is not available,C. There is a query on the price of a product,D. There are insufficient carrier bags at the payment point.,B,
67,One of these is the guidelines for handling complains,Interrupt the customer,Tailor your style to that of the person,Donâ€™t refer the caller to the appropriate quarters,Summarize,D,
68,"Smirking, eyeing a customer, speaking loudly and condescendingly, and sarcasm are all examples of ____________",Inappropriate non-verbals,Appropriate non-Verbals,Inappropriate behaviour,Taking the bait,C,
69,The most effective way of informing a customer that their perishable product has arrived in the store is by,A. Telephone,B. Fax,C. Post,D. E mail.,A,
70,The single most important factor in leaving a voice mail message is ------.,A. Leave a message that's short and to the point,B. Humor,C. Leaving as much information as possible,D. Speaking clearly and succinctly,D,
71,The sum total of all an organization does to meet customer's expectation in order to produce customer satisfaction is?,Customer Service,Excellent Service,Core Service,Augmented Service,A,
72,The sum total of all an organization does to meet customers’ expectation in order to provide customers satisfaction is?,Core Service,Augmented Services,Excellent Service,Customer Service,D,
73,The technique most often used that helps to temporarily halt a conversation that is getting increasingly emotional and unpleasant is?,Face Saving out,Distraction,Broken Record,Disengaging,D,
74,"The technique primarily used with disgruntled customers that won’t work with you to solve their problems, especially when it requires you to paraphrase and repeat a statement over and over again is?",Disengaging,Distraction,Broken Record,Face Saving Out,C,
75,The three factors that determine our attitude are,"Town, Behaviour, and skills","Environment, Experience, and Education",Society life style and sports,Culture Norms and Ethics,B,
76,The two sides to Excellent Service delivery are?,Professionalism and Attitude Dimensions,Procedural and Personal Dimensions,Knowledge and Professionalism,All of the above,B,
77,The type of service that provides the basic products and services that will meet some customers expectation but unlikely to satisfy others is,Core Service,Augmented Service,Excellent Service,Basic service,A,
78,The wave like movement of highs and lows in your pitch that emphasizes the aspect of what you are saying to make it more interesting is?,Volume Control,Pitching,Inflection,Pacing,C,
79,The way an organization delivers its goods and services is known as,Direct service,Point of delivery,Delivery system,All of the above.,C,
80,Two types of Attitude are _____________ and _____________,Boldness and sharpness,Positive and Negative,Assertiveness and smartness,None of the above.,B,
81,Using effective questioning within an inrtereaction with a customer enables the CSR to,A. Identify customer needs,B. Put the customer at ease,C. Find out if they want to be served,D. Reduce the amount of time spent with the customer.,A,
82,Using physical objects relevant to issues being discussed to temporarily divert the attention of an angry customer away from expressing their anger at you is an example of which technique of customer Service.,Diversion,Distraction,Expediting,Not taking the bait,B,
83,What actually determines the level of service a customer receives in an organization is predicated on the following factors except which one?,The actual product/service being provided,The organization delivering the service,The type of customer being served,The tone of voice of the person delivering the service,C,
84,What creates an impressive and a confident mark?,Facial expression and body language,Enthusiasm,Attitude,Making eye contact when talking to somebody,D,
85,What do you use to interact or deal with others?,Attitude,Common sense,Interpersonal skills,Communication skills,C,
86,What does not need to be a consideration before you make a phone call?,A. Who you are calling,B. The purpose of your call,C. The best time to call,D. A brief joke to break the ice,D,
87,What information is not necessary for you to leave on your personal voice mail?,A. The reason you're away from the phone,B. Today's date,C. Your name,D. Your title,A,
88,What message will a customer receive if you answer the telephone after the 5th or 6th ring?,We value your business,We are too busy to handle your business,As long as you are friendly when you answer the phone it does not matter how many times you let the phone ring,None of the above,B,
89,What technique provides a cooling-off period for customers that are upset or angry particularly if their anger is getting in the way of providing help to them?,Pre-emptive Strike,Time-out,Refocus,None of the above,B,
90,"When a CSR goes an extra mile to help a customer get what he/she needs, this is an example of which of these techniques?",Above and beyond the call of Duty,Finding Agreement Points,Common Courtesy,None of the above,A,
91,"When a customer jumps ahead of other customers who are already in a queue, what should be response?",Order the customer to move back to the end of the queue,Contact Security/Management/Authority to bundle out the customer out of the premises,Inform the other customers on the queue of the customer’s action so they can deal with him,"Use Verbal Softener technique to inform the customer of his error, and ensure he moves to the end of the queue",D,
92,When a misunderstanding happens with a customer you should:,Apologize for the error even though it may not have been your error,Tell them it was someone else's fault,Ask them what you can do to make them happy,Both A and C,D,
93,"When addressing an irate customer on the phone who will not keep quiet but keeps ranting and ranting, how do you handle this type of customer?",Use the time out Technique,Use your Hold Button so that the customer cannot hear you,shout back at the customer,Use Telephone Service Technique,D,
94,"When answering a call and a client asks a question you don’t have an answer to, and it will likely take you days to gather the information that will enable you give the customer an answer, what is the best way do you handle this situation?",Arrange Follow-up,Put the caller on hold to ask your colleagues,Ask the customer to call you back.,Quietly hang up and block all calls from that customer,A,
95,"When apologizing to a customer, being specific by naming the emotion and identifying the source of the emotion, which of the following tools and techniques did you employ?",Disengaging,Apologizing,Empathy Statements,Distraction,C,
96,"When attempting to convince a potential buyer to purchase a product or service, the most important aspect of the interaction is:",Matching their perceived needs to potential solutions,Giving as many of the features of the product or service as possible,Finding out why they called us,Offering the best deal,A,
97,"When communicating with customers, the use of __________________ affords a CSR anonymity.",Telephone,the Organization,The product,The CSR Personality,A,
98,When conversing with a person who takes forever to get to the point:,A. I'll keep myself from finishing his/her sentences,B. I'll try not to finish his/her sentences but not always succeed,C. I can't help finishing his/her sentences,D. I'll finish his/her sentences for him/her,A,
99,When conversing with clients who have a less extensive vocabulary (e.g. lower education level); which of the following would you do?,A. It is better to brush them off- I just wouldn't have the patience to carry on,B. I will become very impatient and it'll probably obvious,C. I'll become impatient and it may show,D. I'll adjust my speech to their level,D,
100,"When dealing with a customer that doesn’t fully understand English Language, the basic technique to use is?",Empathy Statements,Plain Language,Voice-Tone Emphatic,Appropriate Non-Verbal,B,
101,"When dealing with a customer that you’ve built a relationship with overtime, you can easily express your feelings about a derogatory remark made to you by the customer in a calm way or pointing out the customer’s error in a non-blaming, what techniques did you use?",Finding Agreement Point,Pre-Emptive Strike,Levelling,Rapport Building,C,
102,"When dealing with a customer who is angry at your organization and in extension you, and in this case the customer is ranting and raving without giving you room to explain and/or apologize, what is the best technique to use?",Apologize,Allow Venting,Admit Mistakes,Thank yous,B,
103,"When dealing with Customers, it is inevitable that you will meet customers that do trust your service especially when they've experienced a dis-satisfactory service elsewhere before. How do you handle such customers?","Explain in details what stands out your service from other organization, by acknowledging your customer’s needs, and then give him/her the pros and cons of your services in your expert opinion",Don’t bother explain anything because customers are naturally distrustful,Run down other organization providing the same services as yours.,Do nothing; your words should be enough,A,
104,"When dealing with customers, putting into consideration that Customers are not always right as opposed to the general notion ensures that you treat customers how?",The same way they approach you,Give them whatever they want to avoid complaints,Treat them with respect to show them they are important,All of the above,C,
105,"When describing a product to a customer and you point out both the strengths and weaknesses of the product, what tools and techniques of customer service is this?",Providing Alternatives,Offering Choices/Empowering,Pros & Cons,Plain Language,C,
106,"When using Setting Limits techniques of Customer Service, the process begins with a/an ____________ and ____________ statements",If & then,Behaviour & Consequence,Action & Result,All of the above,A,
107,"When yo offer something of value to a customer as a compensation for an inconvenience or disappointment, this is called?",Bonus buyoff,Discount,Compensation,Dash,A,
108,"When you anticipate a problem a customer might encounter by addressing or acknowledging it before the customer brings it up, you are using ___________ technique?",Finding Agreement Points,Probing Questions,Providing Explanation,Pre-Emptive Strike,D,
109,"When you are 100% sure that you will be able to solve a customer’s problem, what technique will you use to communicate this to your customer?",Assurances of Results,Empathy statements,Arranging Follow-up,Assurance of Efforts,A,
110,Which of the following are customer service traits you should try to follow?,"A. Be on time, open on time, deliver on time",B. Express empathy to upset customers,C. Never admit that your company is at fault,D. Treat customers as the least important part of your job,A,
111,Which of the following is a key quality of a good Customer Service Representative.,Employee roles and expectations,Policies and procedures,Know your organization,Smile with your customers always,C,
112,Which of the following is a professional quality needed for good customer service? Choose one,A. Fairness,B. Aggression,C. Grumpiness,D. Empathy,D,
113,Which of the following is a useful technique when dealing with an unsatisfied customer?,A. Get angry with angry customers,B. report to the manager,C. Never admit the problem,D. Involve the customer in problem solving,D,
114,Which of these is a component of a good telephonic conversation?,Tone of Voice,Paraphrasing,Rapport Building,All of the above,D,
115,Which of these is a key to a good Telephone intonation?,Volume Control,Gesticulation,Inflection,All of the Above,C,
116,Which of these is not a positive non-verbal communication?,Smiling,Shaking Hands,Shabby Dressing,Posture,C,
117,Which of these is not a type of customer?,Internal Non-paying Customer,External paying customer,Regulated Customers,External Non-paying Customers,A,
118,Which of these is not part of Customer’s needs?,Positive surprises,Buck passing,Sense of importance,Speed,B,
119,Which of these is right to handle the complain call,Always make your points first,Shout back at the complainant,Empathize with the caller,None of the above,C,
120,Which of these is the major reasons why customers leave,Better prices else where,Product dissatisfaction,Poor quality service,Else where,C,
121,Which one of the following describes a buying signal?,A. Asking a salesperson for directions to the toilets.,B. Asking a salesperson what time the store closes.,C. A customer saying goodbye to a salesperson.,D. A customer looking around for a salesperson,D,
122,Which one of the following is an advantage to a retail business of having a loyal customer base? Customers will,A. Shop at the store before considering others,B. Expect to exchange or refund goods,C. Always find what they want at the right price,D. Be able to purchase goods at a cheaper price.,A,
123,Which one of the following is the most common type of customer complaint?,A. Product label information.,B. Wrong size.,C. Pricing policy.,D. Faulty goods.,D,
124,Which one of the following is the most likely effect of having poor communication skills within a team?,A. Reduction in working hours.,B. Increase in customer complaints.,C. Duplication of work.,D. Higher sales targets.,B,
125,Which one of the following techniques is most effective when dealing with customers making complaints?,A . Identify important points and facts.,B . Explain the company's complaints policy.,C. Write everything down.,D . Ask for a brief version of events.,A,
126,Why should you generally not answer your business phone on the first ring?,A. It's rude,B. You don't look busy enough,C. You should let the phone ring through to your voice mail so you can talk at a time of your choosing,D. It can catch the caller off-guard,D,
127,Why should you keep a pad and pen near the phone for use during business calls?,A. To jot down things your party says so you remember them,B. To jot down notes about other things you need to do,C. To jot down ideas to suggest to your party,D. To help script your call so you don't forget anything,D,
128,"You are a CSR for MTN Nigeria, a customer walks into your office shouting with spittle coming out from his mouth complaining about poor network he's been experiencing, all efforts to calm this customer down is proving abortive. What kind of customers do you have on your hands?",A crazy customer,A wicked Customer,A False Customer,An Aggressive Customer,D,
129,"You are a CSR in a big Fashion house, a customer walks in to have her dress made in 2 days, all your designers and tailors are swamped with work but the customer insists on getting her dress made in your fashion house. How would you handle this type of customer?",Tell her to go elsewhere,"Collect her dress, but refuse to make it",Insist you are busy,Reset her expectation by making her understand that her dress will not be ready in 2 days,D,
130,"You just informed a customer that what he wants is unavailable due to reasons which you explained to the customer in details, the customer in response to you turned around and starts addressing other customers, calling you and your organization awful names; what technique of Customer Service will you employ to handle this situation?",Contact Security/Management/Authority,Isolate & Detach customer,Expedite customer’s needs,Do an Audience Removal,D,
131,"You overheard your boss giving a client the name of a person to contact for some information. You know this person is no longer the one to reach for this information. The client is still in the office. What, if anything, should you do?",A. Do not get involved in the situation,B. Quickly take your boss aside and provide the correct name,"C. Wait until the client leaves, and then provides your boss with the correct name","D. Give the individual the correct name, and explain that your boss was not aware of a different person being responsible to provide the information",D,
132,"You own a provision store, one of your customers has not bought from you for over 6 months, what type of customer is this?",Existing Customer,Former Customer,Ultimate Customer,Corporate Customer,B,
133,You should not talk about personal issues on a business call until you have established a personal relationship with your business contact.,A. True,B. False,C.Truee,D. Falsee,A,
134,"You should smile when you're on the phone; it ""shows"" through the phone.",a. True,b. False,c. never,d. wrong,A,
135,You're greeting or saying good-bye to a customer. When's the proper time to shake their hand?,a. When you're introduced or saying goodbye.,b. At their home,c. At their office,d. On the street,A,
136,You've forgotten a lunch with an important client. You feel terrible and know he's furious. Do you:,a. write a letter of apology?,b. send flowers?,c. keep quiet and hope he forgets about it?,d. call to apologize and set up another appointment at the client's convenience?,D,
137,"Your boss, Ms. Alpha, enters the room when you're meeting with an important client, Mr. Beta. You rise and say ""Ms. Alpha, I'd like you to meet Mr. Beta, our client from San Diego."" Is this introduction correct?",A. Yes,B. No,C. Maybe,D. Not sure,A,
138,____________ is why good complaint handling is important,Complaints can stimulate improvement,Complaints generate crisis,Complaints are defenseless,None of the above,A,
139,_________________ is a lifeblood of every business?,CSRs,Customers,Board of Directors,None of the Above,B,
140,"“I can see you in a hurry and I’m going to do my best to get this wrapped up in a few minutes”, this statement is an example of _______________ tools and techniques of Customer Service?",Above and Beyond the call of duty,Refocus,Assurance of Results,Assurance of Efforts,D,
141,“Thank you for coming”; “Thank you for banking with us and have a pleasant weekend”; “we appreciate your patronage and we apologize for the delay” are all examples of?,Thank Yous technique,Common Courtesy Technique,Closing Interactions Positively Technique,Excellent Service Technique,C,
142,"“Thank you”, “Excuse Me”; “Please”; “I’m Sorry” are a few examples of what customer Service techniques?",Closing Interactions positively,Common courtesy,Voice Tone-Emphatic,Empathy Statements,B,
